clock_surrogate	bound	eos	clock_prior	bf_dec_over_tied	log10_bf_dec_over_tied	pre_clock_mahalanobis	clock_like_expectation_under_j0337	tied_sigma1_abs95	tied_sigma2_abs95	tied_eta_abs95	tied_kappa_abs95
grid_matched	conservative	high	medium	0.02320468219441598	-1.6344243751939538	0.5921190719585443	0.8392015726172141	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
grid_matched	conservative	high	wide	0.0038674511994575564	-2.4125751576389405	0.5921190719585443	0.8392015726172141	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
eta_only_kappa_free	optimistic	low	tight	0.32166160829679524	-0.49260077092839577	0.5909598111996351	0.8397781253724853	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
eta_only_kappa_free	optimistic	low	medium	0.09649440121998878	-1.0154978844780052	0.5909598111996351	0.8397781253724853	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
eta_only_kappa_free	optimistic	low	wide	0.03215603674961954	-1.4927374836747316	0.5909598111996351	0.8397781253724853	4.6e-05	0.00037	2.054712685363866e-06	5.935641272347263e-05
eta_only_kappa_free	optimistic	wide	tight	0.32166160621645684	-0.49260077373718447	0.5909598111996351	0.8397781308037295	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
eta_only_kappa_free	optimistic	wide	medium	0.09649440059591365	-1.015497887286794	0.5909598111996351	0.8397781308037295	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
eta_only_kappa_free	optimistic	wide	wide	0.03215603654165118	-1.4927374864835201	0.5909598111996351	0.8397781308037295	4.7e-05	0.0003566666666666667	1.987742501639217e-06	5.622803599721328e-05
eta_only_kappa_free	optimistic	high	tight	0.3216615995239166	-0.49260078277318153	0.5909598111996351	0.8397781482762812	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
eta_only_kappa_free	optimistic	high	medium	0.0964943985882365	-1.015497896322791	0.5909598111996351	0.8397781482762812	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
eta_only_kappa_free	optimistic	high	wide	0.0321560358726078	-1.4927374955195172	0.5909598111996351	0.8397781482762812	4.75e-05	0.00029	1.8897881869412063e-06	3.430658308799569e-05
eta_only_kappa_free	conservative	low	tight	0.3216618448945323	-0.4926004514838267	0.5909598111996351	0.8397775076753375	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
eta_only_kappa_free	conservative	low	medium	0.09649447219630791	-1.0154975650334361	0.5909598111996351	0.8397775076753375	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
eta_only_kappa_free	conservative	low	wide	0.0321560604019465	-1.4927371642301623	0.5909598111996351	0.8397775076753375	4.6e-05	0.00036999999999999994	2.8209389939011332e-06	6.222613467842976e-05
eta_only_kappa_free	conservative	wide	tight	0.3216617860521829	-0.4926005309303337	0.5909598111996351	0.8397776612978185	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
eta_only_kappa_free	conservative	wide	medium	0.09649445454434968	-1.015497644479943	0.5909598111996351	0.8397776612978185	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
eta_only_kappa_free	conservative	wide	wide	0.032156054519563576	-1.4927372436766693	0.5909598111996351	0.8397776612978185	4.7e-05	0.00035666666666666664	2.595093354256357e-06	5.8544125679126456e-05
eta_only_kappa_free	conservative	high	tight	0.3216616765515789	-0.4926006787735598	0.5909598111996351	0.8397779471763293	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
eta_only_kappa_free	conservative	high	medium	0.09649442169555784	-1.0154977923231692	0.5909598111996351	0.8397779471763293	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
eta_only_kappa_free	conservative	high	wide	0.032156043572949634	-1.4927373915198954	0.5909598111996351	0.8397779471763293	4.75e-05	0.0003	2.18273158453815e-06	3.8440663770605556e-05
