sigma1	sigma2	posterior
-5.000000000000000240e-05	3.033333333333333519e-04	7.426911471153365091e-05
-5.000000000000000240e-05	3.066666666666666217e-04	7.431763403892941854e-05
-5.000000000000000240e-05	3.099999999999999999e-04	7.432980158186047108e-05
-5.000000000000000240e-05	3.133333333333332697e-04	7.431277703926310926e-05
-5.000000000000000240e-05	3.166666666666666480e-04	7.427072061198327117e-05
-5.000000000000000240e-05	3.200000000000000262e-04	7.420575974766529105e-05
-5.000000000000000240e-05	3.233333333333332960e-04	7.411870433686934328e-05
-5.000000000000000240e-05	3.266666666666666742e-04	7.400954690022258035e-05
-5.000000000000000240e-05	3.299999999999999440e-04	7.387779539956107304e-05
-5.000000000000000240e-05	3.333333333333333222e-04	7.372268505623147861e-05
-5.000000000000000240e-05	3.366666666666665920e-04	7.354330804752140754e-05
-5.000000000000000240e-05	3.399999999999999702e-04	7.333869050859403733e-05
-5.000000000000000240e-05	3.433333333333333484e-04	7.310783742950614122e-05
-5.000000000000000240e-05	3.466666666666666182e-04	7.284975893157388284e-05
-5.000000000000000240e-05	3.499999999999999964e-04	7.256348625343533333e-05
-5.000000000000000240e-05	3.533333333333332662e-04	7.224808232512787876e-05
-5.000000000000000240e-05	3.566666666666666445e-04	7.190264964531705078e-05
-5.000000000000000240e-05	3.600000000000000227e-04	7.152633689786821070e-05
-5.000000000000000240e-05	3.633333333333332925e-04	7.111834502613170793e-05
-5.000000000000000240e-05	3.666666666666666707e-04	7.067793309884428613e-05
-5.000000000000000240e-05	3.699999999999999405e-04	7.020442410392504107e-05
-5.000000000000000240e-05	3.733333333333333187e-04	6.969721070818419770e-05
-5.000000000000000240e-05	3.766666666666666969e-04	6.915576097310451465e-05
-5.000000000000000240e-05	3.799999999999999667e-04	6.857962399351629022e-05
-5.000000000000000240e-05	3.833333333333333449e-04	6.796843541422657579e-05
-5.000000000000000240e-05	3.866666666666666147e-04	6.732192277332591911e-05
-5.000000000000000240e-05	3.899999999999999929e-04	6.663991061721257251e-05
-5.000000000000000240e-05	3.933333333333332627e-04	6.592232533017635570e-05
-5.000000000000000240e-05	3.966666666666666410e-04	6.516919962020681085e-05
-5.000000000000000240e-05	4.000000000000000192e-04	6.438067660238297040e-05
-4.950000000000000380e-05	-4.000000000000000192e-04	3.072382583095130042e-36
-4.950000000000000380e-05	-3.966666666666666952e-04	5.133569042190626013e-36
-4.950000000000000380e-05	-3.933333333333333712e-04	8.561725024217098507e-36
-4.950000000000000380e-05	-3.900000000000000471e-04	1.425282965009111018e-35
-4.950000000000000380e-05	-3.866666666666666689e-04	2.368312796908239021e-35
-4.950000000000000380e-05	-3.833333333333333449e-04	3.928035254457102805e-35
-4.950000000000000380e-05	-3.800000000000000209e-04	6.502947423555782747e-35
-4.950000000000000380e-05	-3.766666666666666969e-04	1.074592645092475251e-34
