sigma1	sigma2	posterior
-7.399999999999999894e-04	-1.500000000000000000e+05	3.311354039899342800e-123
-7.399999999999999894e-04	-1.450000000000000000e+05	1.749805532992939228e-122
-7.399999999999999894e-04	-1.400000000000000000e+05	9.196346735329230649e-122
-7.399999999999999894e-04	-1.350000000000000000e+05	4.807090212765266425e-121
-7.399999999999999894e-04	-1.300000000000000000e+05	2.499140028560865432e-120
-7.399999999999999894e-04	-1.250000000000000000e+05	1.292231406498617831e-119
-7.399999999999999894e-04	-1.200000000000000000e+05	6.645556832733602687e-119
-7.399999999999999894e-04	-1.150000000000000000e+05	3.399099237096744840e-118
-7.399999999999999894e-04	-1.100000000000000000e+05	1.729170010283043695e-117
-7.399999999999999894e-04	-1.050000000000000000e+05	8.748889445798786245e-117
-7.399999999999999894e-04	-1.000000000000000000e+05	4.402603207693829000e-116
-7.399999999999999894e-04	-9.500000000000000000e+04	2.203472048864902706e-115
-7.399999999999999894e-04	-9.000000000000000000e+04	1.096849215973124787e-114
-7.399999999999999894e-04	-8.500000000000000000e+04	5.430348420449141036e-114
-7.399999999999999894e-04	-8.000000000000000000e+04	2.673928838297210913e-113
-7.399999999999999894e-04	-7.500000000000000000e+04	1.309523745442184356e-112
-7.399999999999999894e-04	-7.000000000000000000e+04	6.378496090513353391e-112
-7.399999999999999894e-04	-6.500000000000000000e+04	3.090043495883743058e-111
-7.399999999999999894e-04	-6.000000000000000000e+04	1.488854557838676390e-110
-7.399999999999999894e-04	-5.500000000000000000e+04	7.134792383701443032e-110
-7.399999999999999894e-04	-5.000000000000000000e+04	3.400570542622819598e-109
-7.399999999999999894e-04	-4.500000000000000000e+04	1.611994738515959766e-108
-7.399999999999999894e-04	-4.000000000000000000e+04	7.600056740020242597e-108
-7.399999999999999894e-04	-3.500000000000000000e+04	3.563784482108446083e-107
-7.399999999999999894e-04	-3.000000000000000000e+04	1.662062739047464328e-106
-7.399999999999999894e-04	-2.500000000000000000e+04	7.709474520277237648e-106
-7.399999999999999894e-04	-2.000000000000000000e+04	3.556669614553453707e-105
-7.399999999999999894e-04	-1.500000000000000000e+04	1.631937999470839812e-104
-7.399999999999999894e-04	-1.000000000000000000e+04	7.447408369732062716e-104
-7.399999999999999894e-04	-5.000000000000000000e+03	3.380244113418022139e-103
-7.399999999999999894e-04	0.000000000000000000e+00	1.525922036571649869e-102
-7.399999999999999894e-04	5.000000000000000000e+03	6.851063736070297550e-102
-7.399999999999999894e-04	1.000000000000000000e+04	3.059321042515587585e-101
-7.399999999999999894e-04	1.500000000000000000e+04	1.358730996637360888e-100
-7.399999999999999894e-04	2.000000000000000000e+04	6.001824546417556352e-100
-7.399999999999999894e-04	2.500000000000000000e+04	2.636783611975319625e-99
-7.399999999999999894e-04	3.000000000000000000e+04	1.152144814190334392e-98
-7.399999999999999894e-04	3.500000000000000000e+04	5.007039657206193729e-98
-7.399999999999999894e-04	4.000000000000000000e+04	2.164194933555864633e-97
-7.399999999999999894e-04	4.500000000000000000e+04	9.303644430039326642e-97
-7.399999999999999894e-04	5.000000000000000000e+04	3.977875763402171223e-96
-7.399999999999999894e-04	5.500000000000000000e+04	1.691572863174897407e-95
-7.399999999999999894e-04	6.000000000000000000e+04	7.154373133287558471e-95
-7.399999999999999894e-04	6.500000000000000000e+04	3.009496533403989216e-94
-7.399999999999999894e-04	7.000000000000000000e+04	1.259092077048465121e-93
-7.399999999999999894e-04	7.500000000000000000e+04	5.239170329574912478e-93
-7.399999999999999894e-04	8.000000000000000000e+04	2.168247867379173862e-92
-7.399999999999999894e-04	8.500000000000000000e+04	8.924763593718632001e-92
-7.399999999999999894e-04	9.000000000000000000e+04	3.653641211149106220e-91
-7.399999999999999894e-04	9.500000000000000000e+04	1.487635236523925580e-90
-7.399999999999999894e-04	1.000000000000000000e+05	6.024325083616074195e-90
-7.399999999999999894e-04	1.050000000000000000e+05	2.426396242721967288e-89
-7.399999999999999894e-04	1.100000000000000000e+05	9.719779966076525037e-89
-7.399999999999999894e-04	1.150000000000000000e+05	3.872509800411020544e-88
-7.399999999999999894e-04	1.200000000000000000e+05	1.534510980911635057e-87
-7.399999999999999894e-04	1.250000000000000000e+05	6.047680772119757428e-87
-7.399999999999999894e-04	1.300000000000000000e+05	2.370549891788700557e-86
