sigma1	sigma2	posterior
-7.799999999999999859e-04	8.000000000000000000e+04	8.638192341489126098e-268
-7.799999999999999859e-04	8.500000000000000000e+04	1.046342612933656142e-266
-7.799999999999999859e-04	9.000000000000000000e+04	1.260568174384659716e-265
-7.799999999999999859e-04	9.500000000000000000e+04	1.510428414736184043e-264
-7.799999999999999859e-04	1.000000000000000000e+05	1.800011746108012790e-263
-7.799999999999999859e-04	1.050000000000000000e+05	2.133496399537220107e-262
-7.799999999999999859e-04	1.100000000000000000e+05	2.515068816113532275e-261
-7.799999999999999859e-04	1.150000000000000000e+05	2.948826453741173327e-260
-7.799999999999999859e-04	1.200000000000000000e+05	3.438665556041627622e-259
-7.799999999999999859e-04	1.250000000000000000e+05	3.988155158502630020e-258
-7.799999999999999859e-04	1.300000000000000000e+05	4.600399387561452136e-257
-7.799999999999999859e-04	1.350000000000000000e+05	5.277890927725529142e-256
-7.799999999999999859e-04	1.400000000000000000e+05	6.022359377632409432e-255
-7.799999999999999859e-04	1.450000000000000000e+05	6.834618978746115645e-254
-7.799999999999999859e-04	1.500000000000000000e+05	7.714420921429188873e-253
-7.799999999999999859e-04	1.550000000000000000e+05	8.660315982174227525e-252
-7.799999999999999859e-04	1.600000000000000000e+05	9.669533618828101248e-251
-7.799999999999999859e-04	1.650000000000000000e+05	1.073788381316062176e-249
-7.799999999999999859e-04	1.700000000000000000e+05	1.185968779338536440e-248
-7.799999999999999859e-04	1.750000000000000000e+05	1.302774338528736928e-247
-7.799999999999999859e-04	1.800000000000000000e+05	1.423332996824856581e-246
-7.799999999999999859e-04	1.850000000000000000e+05	1.546625701721714203e-245
-7.799999999999999859e-04	1.900000000000000000e+05	1.671495883741100494e-244
-7.799999999999999859e-04	1.950000000000000000e+05	1.796663657207758865e-243
-7.799999999999999859e-04	2.000000000000000000e+05	1.920744674648235609e-242
-7.600000000000000418e-04	-2.000000000000000000e+05	1.877449454196736868e-322
-7.600000000000000418e-04	-1.950000000000000000e+05	2.979215844422716661e-321
-7.600000000000000418e-04	-1.900000000000000000e+05	4.668426287553938596e-320
-7.600000000000000418e-04	-1.850000000000000000e+05	7.273733251203999873e-319
-7.600000000000000418e-04	-1.800000000000000000e+05	1.127138637402511169e-317
-7.600000000000000418e-04	-1.750000000000000000e+05	1.737155512128383598e-316
