sigma1	sigma2	posterior
-5.000000000000000240e-05	1.966666666666666585e-04	6.748577569236679971e-06
-5.000000000000000240e-05	1.999999999999999283e-04	8.062553991330682690e-06
-5.000000000000000240e-05	2.033333333333333065e-04	9.572140177993167899e-06
-5.000000000000000240e-05	2.066666666666666847e-04	1.128898282623893274e-05
-5.000000000000000240e-05	2.099999999999999545e-04	1.322129255376400459e-05
-5.000000000000000240e-05	2.133333333333333327e-04	1.537299676469357148e-05
-5.000000000000000240e-05	2.166666666666666025e-04	1.774298398080918001e-05
-5.000000000000000240e-05	2.199999999999999807e-04	2.032450111313227614e-05
-5.000000000000000240e-05	2.233333333333333589e-04	2.310476188824108260e-05
-5.000000000000000240e-05	2.266666666666666287e-04	2.606481572343327202e-05
-5.000000000000000240e-05	2.300000000000000070e-04	2.917971196392931944e-05
-5.000000000000000240e-05	2.333333333333332768e-04	3.241897540652611154e-05
-5.000000000000000240e-05	2.366666666666666550e-04	3.574738690952306485e-05
-5.000000000000000240e-05	2.399999999999999248e-04	3.912603959466771832e-05
-5.000000000000000240e-05	2.433333333333333030e-04	4.251361893812134057e-05
-5.000000000000000240e-05	2.466666666666666812e-04	4.586783620483183155e-05
-5.000000000000000240e-05	2.499999999999999510e-04	4.914693122745392688e-05
-5.000000000000000240e-05	2.533333333333333292e-04	5.231115396903879332e-05
-5.000000000000000240e-05	2.566666666666665990e-04	5.532413541568469536e-05
-5.000000000000000240e-05	2.599999999999999772e-04	5.815406706369589084e-05
-5.000000000000000240e-05	2.633333333333333554e-04	6.077462370335844836e-05
-5.000000000000000240e-05	2.666666666666666252e-04	6.316558474369452793e-05
-5.000000000000000240e-05	2.700000000000000035e-04	6.531313284002541390e-05
-5.000000000000000240e-05	2.733333333333332732e-04	6.720983270551944653e-05
-5.000000000000000240e-05	2.766666666666666515e-04	6.885431538553331071e-05
-5.000000000000000240e-05	2.800000000000000297e-04	7.025071194904314938e-05
-5.000000000000000240e-05	2.833333333333332995e-04	7.140789404267477492e-05
-5.000000000000000240e-05	2.866666666666666777e-04	7.233858626612863179e-05
-5.000000000000000240e-05	2.899999999999999475e-04	7.305841677139803686e-05
-5.000000000000000240e-05	2.933333333333333257e-04	7.358496841256585567e-05
-5.000000000000000240e-05	2.966666666666665955e-04	7.393688423572167615e-05
-5.000000000000000240e-05	2.999999999999999737e-04	7.413306948080856105e-05
-5.000000000000000240e-05	3.033333333333333519e-04	7.419201907278693956e-05
-5.000000000000000240e-05	3.066666666666666217e-04	7.413128624650808999e-05
-5.000000000000000240e-05	3.099999999999999999e-04	7.396709569845314120e-05
-5.000000000000000240e-05	3.133333333333332697e-04	7.371409439081525199e-05
-5.000000000000000240e-05	3.166666666666666480e-04	7.338522538813105399e-05
-5.000000000000000240e-05	3.200000000000000262e-04	7.299170506773865609e-05
-5.000000000000000240e-05	3.233333333333332960e-04	7.254308159141320458e-05
-5.000000000000000240e-05	3.266666666666666742e-04	7.204735230654671179e-05
-5.000000000000000240e-05	3.299999999999999440e-04	7.151111927023641479e-05
-5.000000000000000240e-05	3.333333333333333222e-04	7.093976481200263548e-05
-5.000000000000000240e-05	3.366666666666665920e-04	7.033763244037685735e-05
-5.000000000000000240e-05	3.399999999999999702e-04	6.970820199432109466e-05
-5.000000000000000240e-05	3.433333333333333484e-04	6.905425138204219636e-05
-5.000000000000000240e-05	3.466666666666666182e-04	6.837800028906407593e-05
-5.000000000000000240e-05	3.499999999999999964e-04	6.768123373374828960e-05
-5.000000000000000240e-05	3.533333333333332662e-04	6.696540525287722890e-05
-5.000000000000000240e-05	3.566666666666666445e-04	6.623172083349373497e-05
-5.000000000000000240e-05	3.600000000000000227e-04	6.548120553767625336e-05
-5.000000000000000240e-05	3.633333333333332925e-04	6.471475518727149963e-05
-5.000000000000000240e-05	3.666666666666666707e-04	6.393317558640145622e-05
-5.000000000000000240e-05	3.699999999999999405e-04	6.313721165628421680e-05
-5.000000000000000240e-05	3.733333333333333187e-04	6.232756862195380462e-05
-5.000000000000000240e-05	3.766666666666666969e-04	6.150492708937637732e-05
-5.000000000000000240e-05	3.799999999999999667e-04	6.066995353227985945e-05
-5.000000000000000240e-05	3.833333333333333449e-04	5.982330740284575886e-05
-5.000000000000000240e-05	3.866666666666666147e-04	5.896564580810325859e-05
-5.000000000000000240e-05	3.899999999999999929e-04	5.809762646316059238e-05
-5.000000000000000240e-05	3.933333333333332627e-04	5.721990944498725663e-05
-5.000000000000000240e-05	3.966666666666666410e-04	5.633315812353254854e-05
-5.000000000000000240e-05	4.000000000000000192e-04	5.543803953535621725e-05
-4.950000000000000380e-05	-4.000000000000000192e-04	4.155319768063282926e-19
-4.950000000000000380e-05	-3.966666666666666952e-04	5.194063733199201880e-19
-4.950000000000000380e-05	-3.933333333333333712e-04	6.487531331866262297e-19
-4.950000000000000380e-05	-3.900000000000000471e-04	8.096945173619730279e-19
-4.950000000000000380e-05	-3.866666666666666689e-04	1.009793646615673425e-18
-4.950000000000000380e-05	-3.833333333333333449e-04	1.258386195619971098e-18
-4.950000000000000380e-05	-3.800000000000000209e-04	1.566986687848772884e-18
-4.950000000000000380e-05	-3.766666666666666969e-04	1.949785761603774371e-18
-4.950000000000000380e-05	-3.733333333333333729e-04	2.424258277070926228e-18
-4.950000000000000380e-05	-3.699999999999999947e-04	3.011906361449017379e-18
-4.950000000000000380e-05	-3.666666666666666707e-04	3.739166590680716122e-18
-4.950000000000000380e-05	-3.633333333333333467e-04	4.638516657630808584e-18
-4.950000000000000380e-05	-3.600000000000000227e-04	5.749824287260653985e-18
-4.950000000000000380e-05	-3.566666666666666987e-04	7.121990079484088491e-18
-4.950000000000000380e-05	-3.533333333333333747e-04	8.814946688023582755e-18
-4.950000000000000380e-05	-3.499999999999999964e-04	1.090208963369771283e-17
-4.950000000000000380e-05	-3.466666666666666724e-04	1.347323052553837939e-17
-4.950000000000000380e-05	-3.433333333333333484e-04	1.663818202506842889e-17
