lambda	alpha	uniform_radius_ratio	uniform_density_ratio	uniform_Pc_ratio	uniform_absEg_ratio	uniform_Pi_ratio	n1_radius_ratio	n1_rho_c_ratio	n1_Pc_ratio	n1_absEg_ratio	n1_Pi_ratio
0.518519	4.814810e-01	1.000000e+00	1.000000e+00	4.814810e-01	4.814810e-01	4.814810e-01	1.441154e+00	3.340940e-01	1.116188e-01	3.340940e-01	3.340940e-01
0.520521	4.794790e-01	1.000000e+00	1.000000e+00	4.794790e-01	4.794790e-01	4.794790e-01	1.444160e+00	3.320124e-01	1.102322e-01	3.320124e-01	3.320124e-01
0.522523	4.774770e-01	1.000000e+00	1.000000e+00	4.774770e-01	4.774770e-01	4.774770e-01	1.447184e+00	3.299352e-01	1.088572e-01	3.299352e-01	3.299352e-01
0.524525	4.754749e-01	1.000000e+00	1.000000e+00	4.754749e-01	4.754749e-01	4.754749e-01	1.450228e+00	3.278623e-01	1.074937e-01	3.278623e-01	3.278623e-01
0.526527	4.734729e-01	1.000000e+00	1.000000e+00	4.734729e-01	4.734729e-01	4.734729e-01	1.453290e+00	3.257938e-01	1.061416e-01	3.257938e-01	3.257938e-01
0.528529	4.714709e-01	1.000000e+00	1.000000e+00	4.714709e-01	4.714709e-01	4.714709e-01	1.456373e+00	3.237296e-01	1.048008e-01	3.237296e-01	3.237296e-01
0.530531	4.694689e-01	1.000000e+00	1.000000e+00	4.694689e-01	4.694689e-01	4.694689e-01	1.459475e+00	3.216698e-01	1.034715e-01	3.216698e-01	3.216698e-01
0.532533	4.674669e-01	1.000000e+00	1.000000e+00	4.674669e-01	4.674669e-01	4.674669e-01	1.462597e+00	3.196144e-01	1.021534e-01	3.196144e-01	3.196144e-01
0.534535	4.654649e-01	1.000000e+00	1.000000e+00	4.654649e-01	4.654649e-01	4.654649e-01	1.465739e+00	3.175634e-01	1.008465e-01	3.175634e-01	3.175634e-01
0.536537	4.634629e-01	1.000000e+00	1.000000e+00	4.634629e-01	4.634629e-01	4.634629e-01	1.468901e+00	3.155168e-01	9.955086e-02	3.155168e-01	3.155168e-01
0.538539	4.614609e-01	1.000000e+00	1.000000e+00	4.614609e-01	4.614609e-01	4.614609e-01	1.472084e+00	3.134746e-01	9.826634e-02	3.134746e-01	3.134746e-01
0.540541	4.594589e-01	1.000000e+00	1.000000e+00	4.594589e-01	4.594589e-01	4.594589e-01	1.475287e+00	3.114369e-01	9.699292e-02	3.114369e-01	3.114369e-01
0.542543	4.574569e-01	1.000000e+00	1.000000e+00	4.574569e-01	4.574569e-01	4.574569e-01	1.478512e+00	3.094036e-01	9.573056e-02	3.094036e-01	3.094036e-01
0.544545	4.554549e-01	1.000000e+00	1.000000e+00	4.554549e-01	4.554549e-01	4.554549e-01	1.481758e+00	3.073747e-01	9.447919e-02	3.073747e-01	3.073747e-01
0.546547	4.534529e-01	1.000000e+00	1.000000e+00	4.534529e-01	4.534529e-01	4.534529e-01	1.485025e+00	3.053503e-01	9.323878e-02	3.053503e-01	3.053503e-01
0.548549	4.514509e-01	1.000000e+00	1.000000e+00	4.514509e-01	4.514509e-01	4.514509e-01	1.488315e+00	3.033303e-01	9.200927e-02	3.033303e-01	3.033303e-01
0.550551	4.494489e-01	1.000000e+00	1.000000e+00	4.494489e-01	4.494489e-01	4.494489e-01	1.491626e+00	3.013148e-01	9.079062e-02	3.013148e-01	3.013148e-01
0.552553	4.474469e-01	1.000000e+00	1.000000e+00	4.474469e-01	4.474469e-01	4.474469e-01	1.494959e+00	2.993038e-01	8.958277e-02	2.993038e-01	2.993038e-01
0.554555	4.454449e-01	1.000000e+00	1.000000e+00	4.454449e-01	4.454449e-01	4.454449e-01	1.498315e+00	2.972973e-01	8.838569e-02	2.972973e-01	2.972973e-01
0.556557	4.434429e-01	1.000000e+00	1.000000e+00	4.434429e-01	4.434429e-01	4.434429e-01	1.501693e+00	2.952953e-01	8.719932e-02	2.952953e-01	2.952953e-01
0.558559	4.414409e-01	1.000000e+00	1.000000e+00	4.414409e-01	4.414409e-01	4.414409e-01	1.505094e+00	2.932978e-01	8.602361e-02	2.932978e-01	2.932978e-01
0.560561	4.394389e-01	1.000000e+00	1.000000e+00	4.394389e-01	4.394389e-01	4.394389e-01	1.508519e+00	2.913049e-01	8.485852e-02	2.913049e-01	2.913049e-01
0.562563	4.374369e-01	1.000000e+00	1.000000e+00	4.374369e-01	4.374369e-01	4.374369e-01	1.511967e+00	2.893164e-01	8.370399e-02	2.893164e-01	2.893164e-01
0.564565	4.354349e-01	1.000000e+00	1.000000e+00	4.354349e-01	4.354349e-01	4.354349e-01	1.515439e+00	2.873325e-01	8.255999e-02	2.873325e-01	2.873325e-01
0.566567	4.334329e-01	1.000000e+00	1.000000e+00	4.334329e-01	4.334329e-01	4.334329e-01	1.518935e+00	2.853532e-01	8.142645e-02	2.853532e-01	2.853532e-01
0.568569	4.314309e-01	1.000000e+00	1.000000e+00	4.314309e-01	4.314309e-01	4.314309e-01	1.522455e+00	2.833784e-01	8.030334e-02	2.833784e-01	2.833784e-01
0.570571	4.294289e-01	1.000000e+00	1.000000e+00	4.294289e-01	4.294289e-01	4.294289e-01	1.525999e+00	2.814083e-01	7.919061e-02	2.814083e-01	2.814083e-01
0.572573	4.274269e-01	1.000000e+00	1.000000e+00	4.274269e-01	4.274269e-01	4.274269e-01	1.529569e+00	2.794427e-01	7.808820e-02	2.794427e-01	2.794427e-01
