sigma1	sigma2	posterior
-5.000000000000000240e-05	-1.300000000000000157e-04	5.437537897280252659e-21
-5.000000000000000240e-05	-1.266666666666666917e-04	7.861217668118042813e-21
-5.000000000000000240e-05	-1.233333333333333677e-04	1.134503889519829809e-20
-5.000000000000000240e-05	-1.200000000000000437e-04	1.634374549299754008e-20
-5.000000000000000240e-05	-1.166666666666666655e-04	2.350322393599035090e-20
-5.000000000000000240e-05	-1.133333333333333415e-04	3.373916778956079063e-20
-5.000000000000000240e-05	-1.100000000000000175e-04	4.834741180022441904e-20
-5.000000000000000240e-05	-1.066666666666666935e-04	6.915839558258999621e-20
-5.000000000000000240e-05	-1.033333333333333695e-04	9.875300258937045993e-20
-5.000000000000000240e-05	-1.000000000000000454e-04	1.407635979043280635e-19
-5.000000000000000240e-05	-9.666666666666666723e-05	2.002931120163533820e-19
-5.000000000000000240e-05	-9.333333333333334323e-05	2.844973724144226202e-19
-5.000000000000000240e-05	-9.000000000000001922e-05	4.033927673911481031e-19
-5.000000000000000240e-05	-8.666666666666669521e-05	5.709743515367161316e-19
-5.000000000000000240e-05	-8.333333333333337121e-05	8.067608441607673601e-19
-5.000000000000000240e-05	-8.000000000000004720e-05	1.137925551849143325e-18
-5.000000000000000240e-05	-7.666666666666666899e-05	1.602229982702161429e-18
-5.000000000000000240e-05	-7.333333333333334498e-05	2.252055056838882831e-18
-5.000000000000000240e-05	-7.000000000000002097e-05	3.159930361011362640e-18
-5.000000000000000240e-05	-6.666666666666669697e-05	4.426104184448494257e-18
-5.000000000000000240e-05	-6.333333333333337296e-05	6.188888535835062499e-18
-5.000000000000000240e-05	-5.999999999999999474e-05	8.638770481397971501e-18
-5.000000000000000240e-05	-5.666666666666667074e-05	1.203762583603142229e-17
-5.000000000000000240e-05	-5.333333333333334673e-05	1.674483242067804918e-17
-5.000000000000000240e-05	-5.000000000000002272e-05	2.325269597714176760e-17
-5.000000000000000240e-05	-4.666666666666669872e-05	3.223442275702721543e-17
-5.000000000000000240e-05	-4.333333333333337471e-05	4.460896500331045537e-17
-5.000000000000000240e-05	-3.999999999999999650e-05	6.162851597164251485e-17
-5.000000000000000240e-05	-3.666666666666667249e-05	8.499635373778203991e-17
-5.000000000000000240e-05	-3.333333333333334848e-05	1.170252768507785316e-16
-5.000000000000000240e-05	-3.000000000000002448e-05	1.608502345192170587e-16
-5.000000000000000240e-05	-2.666666666666670047e-05	2.207131830878910067e-16
-5.000000000000000240e-05	-2.333333333333337646e-05	3.023440290500812710e-16
-5.000000000000000240e-05	-1.999999999999999825e-05	4.134691753049581861e-16
-5.000000000000000240e-05	-1.666666666666667424e-05	5.644892274540269310e-16
-5.000000000000000240e-05	-1.333333333333335024e-05	7.693805598430125267e-16
-5.000000000000000240e-05	-1.000000000000002623e-05	1.046892616192102402e-15
-5.000000000000000240e-05	-6.666666666666702223e-06	1.422135226113718700e-15
-5.000000000000000240e-05	-3.333333333333378216e-06	1.928679401252542423e-15
-5.000000000000000240e-05	0.000000000000000000e+00	2.611333020026518370e-15
-5.000000000000000240e-05	3.333333333333324006e-06	3.529802069883880374e-15
-5.000000000000000240e-05	6.666666666666648013e-06	4.763511963738985739e-15
-5.000000000000000240e-05	9.999999999999972019e-06	6.417946075500275082e-15
-5.000000000000000240e-05	1.333333333333329603e-05	8.632965412357242186e-15
-5.000000000000000240e-05	1.666666666666662003e-05	1.159371111341749552e-14
-5.000000000000000240e-05	1.999999999999999825e-05	1.554486898579272227e-14
-5.000000000000000240e-05	2.333333333333332225e-05	2.080930372027616527e-14
-5.000000000000000240e-05	2.666666666666664626e-05	2.781236399067741286e-14
-5.000000000000000240e-05	2.999999999999997027e-05	3.711353644389305365e-14
-5.000000000000000240e-05	3.333333333333329427e-05	4.944760968226827932e-14
-5.000000000000000240e-05	3.666666666666667249e-05	6.577812805359294525e-14
-5.000000000000000240e-05	3.999999999999999650e-05	8.736670670639823057e-14
-5.000000000000000240e-05	4.333333333333332050e-05	1.158627914052816261e-13
-5.000000000000000240e-05	4.666666666666664451e-05	1.534197394408822373e-13
-5.000000000000000240e-05	4.999999999999996851e-05	2.028447485387615550e-13
-5.000000000000000240e-05	5.333333333333329252e-05	2.677922670274738821e-13
-5.000000000000000240e-05	5.666666666666667074e-05	3.530132058280077928e-13
-5.000000000000000240e-05	5.999999999999999474e-05	4.646757011154878283e-13
-5.000000000000000240e-05	6.333333333333331875e-05	6.107775509000403085e-13
-5.000000000000000240e-05	6.666666666666664276e-05	8.016760329486370005e-13
-5.000000000000000240e-05	6.999999999999996676e-05	1.050767945605460221e-12
-5.000000000000000240e-05	7.333333333333329077e-05	1.375361838053117014e-12
-5.000000000000000240e-05	7.666666666666666899e-05	1.797796086998230379e-12
-5.000000000000000240e-05	7.999999999999999299e-05	2.346871486707215768e-12
-5.000000000000000240e-05	8.333333333333331700e-05	3.059686346694050478e-12
-5.000000000000000240e-05	8.666666666666664100e-05	3.983987070827946356e-12
-5.000000000000000240e-05	8.999999999999996501e-05	5.181179631832895690e-12
-5.000000000000000240e-05	9.333333333333334323e-05	6.730189748285114316e-12
-5.000000000000000240e-05	9.666666666666661302e-05	8.732415425574494150e-12
-5.000000000000000240e-05	9.999999999999999124e-05	1.131808991479915643e-11
-5.000000000000000240e-05	1.033333333333332610e-04	1.465447368624844864e-11
-5.000000000000000240e-05	1.066666666666666393e-04	1.895643263830366185e-11
-5.000000000000000240e-05	1.100000000000000175e-04	2.450015618344434103e-11
-5.000000000000000240e-05	1.133333333333332873e-04	3.164105758823422488e-11
-5.000000000000000240e-05	1.166666666666666655e-04	4.083734396374372019e-11
-5.000000000000000240e-05	1.199999999999999353e-04	5.268146911205673659e-11
-5.000000000000000240e-05	1.233333333333333135e-04	6.794294023547862728e-11
-5.000000000000000240e-05	1.266666666666666917e-04	8.762825688294716507e-11
-5.000000000000000240e-05	1.299999999999999615e-04	1.130681910130146785e-10
-5.000000000000000240e-05	1.333333333333333397e-04	1.460513851999142711e-10
-5.000000000000000240e-05	1.366666666666666095e-04	1.890408493423062266e-10
-5.000000000000000240e-05	1.399999999999999877e-04	2.455452954001189714e-10
-5.000000000000000240e-05	1.433333333333333660e-04	3.207875261525751358e-10
-5.000000000000000240e-05	1.466666666666666357e-04	4.229491102190857522e-10
-5.000000000000000240e-05	1.500000000000000140e-04	5.655308520898090267e-10
-5.000000000000000240e-05	1.533333333333332838e-04	7.718475787251319220e-10
-5.000000000000000240e-05	1.566666666666666620e-04	1.083525530650003511e-09
-5.000000000000000240e-05	1.599999999999999318e-04	1.576316373674778980e-09
-5.000000000000000240e-05	1.633333333333333100e-04	2.388887417786355176e-09
-5.000000000000000240e-05	1.666666666666666882e-04	3.773851106584131949e-09
-5.000000000000000240e-05	1.699999999999999580e-04	6.185487876629054517e-09
